Archery,,,
,,,
See also: Archery at the 2020 Summer Olympics,,,
,,,
Event,Gold,Silver,Bronze
Men's individual,Mete Gazoz,Mauro Nespoli,Takaharu Furukawa
, Turkey, Italy, Japan
Men's team, South Korea, Chinese Taipei, Japan
,Kim Woo-jin,Deng Yu-cheng,Takaharu Furukawa
,Oh Jin-hyek,Tang Chih-chun,Yuki Kawata
,Kim Je-deok,Wei Chun-heng,Hiroki Muto
Women's individual,An San,Elena Osipova,Lucilla Boari
, South Korea, ROC, Italy
Women's team, South Korea, ROC, Germany
,An San,Svetlana Gomboeva,Michelle Kroppen
,Jang Min-hee,Elena Osipova,Charline Schwarz
,Kang Chae-young,Ksenia Perova,Lisa Unruh
Mixed team, South Korea, Netherlands, Mexico
,Kim Je-deok,Steve Wijler,Luis Álvarez
,An San,Gabriela Schloesser,Alejandra Valencia
,,,
Artistic swimming,,,
,,,
See also: Artistic swimming at the 2020 Summer Olympics,,,
,,,
Event,Gold,Silver,Bronze
Duet,Svetlana Kolesnichenko,Huang Xuechen,Marta Fiedina
,Svetlana Romashina,Sun Wenyan,Anastasiya Savchuk
, ROC, China, Ukraine
Team, ROC, China, Ukraine
,Vlada Chigireva,Feng Yu,Maryna Aleksiiva
,Marina Goliadkina,Guo Li,Vladyslava Aleksiiva
,Svetlana Kolesnichenko,Huang Xuechen,Marta Fiedina
,Polina Komar,Liang Xinping,Kateryna Reznik
,Alexandra Patskevich,Sun Wenyan,Anastasiya Savchuk
,Svetlana Romashina,Wang Qianyi,Alina Shynkarenko
,Alla Shishkina,Xiao Yanning,Kseniya Sydorenko
,Maria Shurochkina,Yin Chengxin,Yelyzaveta Yakhno
,,,
Athletics,,,
,,,
See also: Athletics at the 2020 Summer Olympics,,,
Men's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
100 metres,Marcell Jacobs,Fred Kerley,Andre De Grasse
, Italy, United States, Canada
200 metres,Andre De Grasse,Kenny Bednarek,Noah Lyles
, Canada, United States, United States
400 metres,Steven Gardiner,Anthony Zambrano,Kirani James
, Bahamas, Colombia, Grenada
800 metres,Emmanuel Korir,Ferguson Rotich,Patryk Dobek
, Kenya, Kenya, Poland
1500 metres,Jakob Ingebrigtsen,Timothy Cheruiyot,Josh Kerr
, Norway, Kenya, Great Britain
5000 metres,Joshua Cheptegei,Mohammed Ahmed,Paul Chelimo
, Uganda, Canada, United States
"10,000 metres",Selemon Barega,Joshua Cheptegei,Jacob Kiplimo
, Ethiopia, Uganda, Uganda
110 metres hurdles,Hansle Parchment,Grant Holloway,Ronald Levy
, Jamaica, United States, Jamaica
400 metres hurdles,Karsten Warholm,Rai Benjamin,Alison dos Santos
, Norway, United States, Brazil
3000 metres steeplechase,Soufiane El Bakkali,Lamecha Girma,Benjamin Kigen
, Morocco, Ethiopia, Kenya
4 × 100 metres relay, Italy, Canada, China
,Lorenzo Patta,Aaron Brown,Tang Xingqiang
,Marcell Jacobs,Jerome Blake,Xie Zhenye
,Fausto Desalu,Brendon Rodney,Su Bingtian
,Filippo Tortu,Andre De Grasse,Wu Zhiqiang
4 × 400 metres relay, United States, Netherlands, Botswana
,Michael Cherry,Liemarvin Bonevacia,Isaac Makwala
,Michael Norman,Terrence Agard,Baboloki Thebe
,Bryce Deadmon,Tony van Diepen,Zibane Ngozi
,Rai Benjamin,Ramsey Angela,Bayapo Ndori
,Trevor Stewart,Jochem Dobber,
,Randolph Ross,,
,Vernon Norwood,,
Marathon,Eliud Kipchoge,Abdi Nageeye,Bashir Abdi
, Kenya, Netherlands, Belgium
20 kilometres walk,Massimo Stano,Koki Ikeda,Toshikazu Yamanishi
, Italy, Japan, Japan
50 kilometres walk,Dawid Tomala,Jonathan Hilbert,Evan Dunfee
, Poland, Germany, Canada
High jump,Gianmarco Tamberi,Not awarded,Maksim Nedasekau
, Italy,(as there was a tie for gold), Belarus
Mutaz Essa Barshim,,,
 Qatar,,,
Pole vault,Armand Duplantis,Chris Nilsen,Thiago Braz
, Sweden, United States, Brazil
Long jump,Miltiadis Tentoglou,Juan Miguel Echevarría,Maykel Massó
, Greece, Cuba, Cuba
Triple jump,Pedro Pichardo,Zhu Yaming,Hugues Fabrice Zango
, Portugal, China, Burkina Faso
Shot put,Ryan Crouser,Joe Kovacs,Tom Walsh
, United States, United States, New Zealand
Discus throw,Daniel Ståhl,Simon Pettersson,Lukas Weißhaidinger
, Sweden, Sweden, Austria
Hammer throw,Wojciech Nowicki,Eivind Henriksen,Paweł Fajdek
, Poland, Norway, Poland
Javelin throw,Neeraj Chopra,Jakub Vadlejch,Vítězslav Veselý
, India, Czech Republic, Czech Republic
Decathlon,Damian Warner,Kevin Mayer,Ashley Moloney
, Canada, France, Australia
,,,
Women's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
100 metres,Elaine Thompson-Herah,Shelly-Ann Fraser-Pryce,Shericka Jackson
, Jamaica, Jamaica, Jamaica
200 metres,Elaine Thompson-Herah,Christine Mboma,Gabrielle Thomas
, Jamaica, Namibia, United States
400 metres,Shaunae Miller-Uibo,Marileidy Paulino,Allyson Felix
, Bahamas, Dominican Republic, United States
800 metres,Athing Mu,Keely Hodgkinson,Raevyn Rogers
, United States, Great Britain, United States
1500 metres,Faith Kipyegon,Laura Muir,Sifan Hassan
, Kenya, Great Britain, Netherlands
5000 metres,Sifan Hassan,Hellen Obiri,Gudaf Tsegay
, Netherlands, Kenya, Ethiopia
"10,000 metres",Sifan Hassan,Kalkidan Gezahegne,Letesenbet Gidey
, Netherlands, Bahrain, Ethiopia
100 metres hurdles,Jasmine Camacho-Quinn,Kendra Harrison,Megan Tapper
, Puerto Rico, United States, Jamaica
400 metres hurdles,Sydney McLaughlin,Dalilah Muhammad,Femke Bol
, United States, United States, Netherlands
3000 metres steeplechase,Peruth Chemutai,Courtney Frerichs,Hyvin Jepkemoi
, Uganda, United States, Kenya
4 × 100 metres relay, Jamaica, United States, Great Britain
,Briana Williams,Javianne Oliver,Asha Philip
,Elaine Thompson-Herah,Teahna Daniels,Imani-Lara Lansiquot
,Shelly-Ann Fraser-Pryce,Jenna Prandini,Dina Asher-Smith
,Shericka Jackson,Gabrielle Thomas,Daryll Neita
,Natasha Morrison,English Gardner,
,Remona Burchell,Aleia Hobbs,
4 × 400 metres relay, United States, Poland, Jamaica
,Sydney McLaughlin,Natalia Kaczmarek,Roneisha McGregor
,Allyson Felix,Iga Baumgart-Witan,Janieve Russell
,Dalilah Muhammad,Małgorzata Hołub-Kowalik,Shericka Jackson
,Athing Mu,Justyna Święty-Ersetic,Candice McLeod
,Kendall Ellis,Anna Kiełbasińska,Junelle Bromfield
,Lynna Irby,,Stacey-Ann Williams
,Wadeline Jonathas,,
,Kaylin Whitney,,
Marathon,Peres Jepchirchir,Brigid Kosgei,Molly Seidel
, Kenya, Kenya, United States
20 kilometres walk,Antonella Palmisano,Sandra Arenas,Liu Hong
, Italy, Colombia, China
High jump,Mariya Lasitskene,Nicola McDermott,Yaroslava Mahuchikh
, ROC, Australia, Ukraine
Pole vault,Katie Nageotte,Anzhelika Sidorova,Holly Bradshaw
, United States, ROC, Great Britain
Long jump,Malaika Mihambo,Brittney Reese,Ese Brume
, Germany, United States, Nigeria
Triple jump,Yulimar Rojas,Patrícia Mamona,Ana Peleteiro
, Venezuela, Portugal, Spain
Shot put,Gong Lijiao,Raven Saunders,Valerie Adams
, China, United States, New Zealand
Discus throw,Valarie Allman,Kristin Pudenz,Yaime Pérez
, United States, Germany, Cuba
Hammer throw,Anita Włodarczyk,Wang Zheng,Malwina Kopron
, Poland, China, Poland
Javelin throw,Liu Shiying,Maria Andrejczyk,Kelsey-Lee Barber
, China, Poland, Australia
